lat,lon,TYPE
49.2840197,-123.1138301,Theft from Vehicle
49.2840197,-123.1138301,Theft from Vehicle
49.2806081,-123.118536,Other Theft
49.2806081,-123.118536,Other Theft
49.2806081,-123.118536,Other Theft
49.2806081,-123.118536,Other Theft
49.2806081,-123.118536,Other Theft
49.2804505,-123.1182977,Other Theft
49.2804505,-123.1182977,Other Theft
49.2804505,-123.1182977,Other Theft
49.28028009,-123.1182169,Other Theft
49.28011122,-123.1179616,Other Theft
49.28302616,-123.1152449,Other Theft
49.28302616,-123.1152449,Other Theft
49.28302616,-123.1152449,Other Theft
49.28302616,-123.1152449,Other Theft
49.28302616,-123.1152449,Other Theft
49.28302616,-123.1152449,Other Theft
49.28302616,-123.1152449,Other Theft
49.28302616,-123.1152449,Other Theft
49.28348339,-123.11473,Other Theft
49.28348339,-123.11473,Other Theft
49.28348339,-123.11473,Other Theft
49.28348339,-123.11473,Other Theft
49.28348339,-123.11473,Other Theft
49.28099949,-123.1264087,Mischief
49.28099949,-123.1264087,Mischief
49.28336847,-123.114727,Other Theft
49.28336847,-123.114727,Other Theft
49.28336847,-123.114727,Other Theft
49.28336847,-123.114727,Other Theft
49.28336847,-123.114727,Other Theft
49.28382493,-123.1302053,Mischief
49.28856839,-123.1169793,Mischief
49.2883794,-123.116619,Mischief
49.2883794,-123.116619,Mischief
49.29116153,-123.1416446,Mischief
49.2846655,-123.1128553,Theft from Vehicle
49.28346356,-123.1145831,Other Theft
49.28355865,-123.1144392,Other Theft
49.28376865,-123.1142984,Other Theft
